Pb二元系状態図 (id : 1281),温度 (id : 6595)
Pb  (id : 6515),Ag-Pb系溶融合金の密度 (id : 108)
The Pb-Sn phase diagram: solidification of a dilute alloy A. (id : 3465),Temperature (id : 13534)
Partial phase diagram for the Pb-Sn system, (id : 3438),Temperature (id : 13534)
Sn (id : 6539),Pb-Sn系の400℃での粘度 (id : 131)
Pb二元系状態図 (id : 1274),温度 (id : 6595)
破壊時間t [h] (id : 8275),軟鋼（S 15 C）の1%NaCl 中における腐食疲労のS-N 曲線 (id : 732)
日数 (id : 13699),種々の濃度のNaCl水溶液中におけるSUS410J1のS-N曲線 (id : 3017)
N_PbS (id : 7028),Cu_2S-PbS, FeS-PbS系の活量 (1200℃) (id : 364)
Names and application: polymers and foams (id : 3481),Applications (id : 13547)
Names and application: polymers and foams (id : 3481),Abbreviation (id : 15092)
Names and application: polymers and foams (id : 3481),Materials (id : 13548)
Phase diagram for the Pb-Sn system, the lever rule for finding the weight factions (id : 3443),Temperature (id : 13534)
Pb二元系状態図 (id : 1290),温度 (id : 6595)
Pb二元系状態図 (id : 1275),温度 (id : 6595)
Sb (id : 11093),Pb-Sb合金の状態図と流動長の関係 (id : 1993)
Pb二元系状態図 (id : 1291),温度 (id : 6595)
Pb-Sn系の400℃での粘度 (id : 131),粘度 (id : 6535)
Bi-Pb合金の粘性と状態図の関係 (id : 1988),粘性係数 (id : 11097)
Bi-Pb合金の粘性と状態図の関係 (id : 1988),温度 (id : 6595)
HCl-NaCl-NaOH水溶液(大気開放)のpHと疲労寿命との関係 (id : 3025),破断繰返し数 (id : 12726)
繰返し速度 (id : 13705),3%および3.5%NaCl水溶液中のフエライト系鋼のき裂進展曲線と繰返し速度との関係 (id : 3053)
Pb二元系状態図 (id : 1284),温度 (id : 6595)
Naの電気抵抗の温度変化 (id : 1752),電気抵抗 (id : 10273)
Pb二元系状態図 (id : 1268),温度 (id : 6595)
破断繰返し数 (id : 12864),種々の濃度のNaCl水溶液中におけるSUS410J1のS-N曲線 (id : 3017)
NaCl型炭化物および窒化物の融点 (id : 3402),融点 (id : 14729)
NaCl型炭化物および窒化物の融点 (id : 3402),窒化物 (id : 14727)
NaCl型炭化物および窒化物の融点 (id : 3402),炭化物 (id : 14724)
固相成長速度 (id : 14779),Pb-Sn共晶合金の過冷却度ΔTと固相成長速度Vとの関係 (id : 3412)
